day_index,date,trade_type,instrument,contracts,price,notional,dv01_impact,transaction_cost,reason
0,2026-01-08 14:08:21.783288,open,bond_futures,-767,100.0,76700000.0,-61360.0,0.0,dv01_hedge
1,2026-01-09 14:08:21.783288,adjust,bond_futures,-758,100.0,75800000.0,-60640.0,0.0,dv01_hedge
2,2026-01-10 14:08:21.783288,adjust,bond_futures,-749,100.0,74900000.0,-59920.0,0.0,dv01_hedge
3,2026-01-11 14:08:21.783288,adjust,bond_futures,-741,100.0,74100000.0,-59280.0,0.0,dv01_hedge
4,2026-01-12 14:08:21.783288,adjust,bond_futures,-733,100.0,73300000.0,-58640.0,0.0,dv01_hedge
5,2026-01-13 14:08:21.783288,adjust,bond_futures,-725,100.0,72500000.0,-58000.0,0.0,dv01_hedge
6,2026-01-14 14:08:21.783288,adjust,bond_futures,-717,100.0,71700000.0,-57360.0,0.0,dv01_hedge
7,2026-01-15 14:08:21.783288,adjust,bond_futures,-709,100.0,70900000.0,-56720.0,0.0,dv01_hedge
8,2026-01-16 14:08:21.783288,adjust,bond_futures,-701,100.0,70100000.0,-56080.0,0.0,dv01_hedge
9,2026-01-17 14:08:21.783288,adjust,bond_futures,-693,100.0,69300000.0,-55440.0,0.0,dv01_hedge
