day_index,date,dv01_pre_hedge,dv01_post_hedge,dv01
0,2026-01-08 14:08:21.783288,61328.83977154044,-31.160228459557402,-31.160228459557402
1,2026-01-09 14:08:21.783288,60635.722483896694,-4.27751610330597,-4.27751610330597
2,2026-01-10 14:08:21.783288,59953.08313305443,33.08313305443153,33.08313305443153
3,2026-01-11 14:08:21.783288,59280.736677252906,0.7366772529057926,0.7366772529057926
4,2026-01-12 14:08:21.783288,58618.501663695744,-21.498336304255645,-21.498336304255645
5,2026-01-13 14:08:21.783288,57966.20015457858,-33.79984542141756,-33.79984542141756
6,2026-01-14 14:08:21.783288,57323.65765470727,-36.3423452927309,-36.3423452927309
7,2026-01-15 14:08:21.783288,56690.703040670975,-29.296959329025412,-29.296959329025412
8,2026-01-16 14:08:21.783288,56067.16849153595,-12.831508464048966,-12.831508464048966
9,2026-01-17 14:08:21.783288,55452.88942102606,12.889421026062337,12.889421026062337
