day_index,date,label,portfolio_value,daily_pnl,cumulative_pnl,net_pnl,transaction_costs,num_trades,dv01,dv01_pre_hedge,dv01_post_hedge,convexity,modified_duration,rate,short_rate,long_rate,spread
0,2026-01-08 14:08:21.783288,Cumulative hike: +10bps,171942006.60851467,-1211851.6404619813,-1211851.6404619813,-1211851.6404619813,0.0,1,-31.160228459557402,61328.83977154044,-31.160228459557402,3296042940.691439,3.566832851449542,0.047,0.047,0.047,0.0
1,2026-01-09 14:08:21.783288,Cumulative hike: +20bps,170744910.7366163,-1197095.871898353,-2408947.5123603344,-2408947.5123603344,0.0,1,-4.27751610330597,60635.722483896694,-4.27751610330597,3246039433.0225496,3.5512462551478747,0.049,0.049,0.049,0.0
2,2026-01-10 14:08:21.783288,Cumulative hike: +30bps,169562348.0000888,-1182562.7365275025,-3591510.248887837,-3591510.248887837,0.0,1,33.08313305443153,59953.08313305443,33.08313305443153,3196919664.64768,3.5357544785250923,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0
3,2026-01-11 14:08:21.783288,Cumulative hike: +40bps,168394099.71238416,-1168248.2877046466,-4759758.5365924835,-4759758.5365924835,0.0,1,0.7366772529057926,59280.736677252906,0.7366772529057926,3148666529.5443726,3.520357113372972,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.0
4,2026-01-12 14:08:21.783288,Cumulative hike: +50bps,167239951.05680883,-1154148.655575335,-5913907.192167819,-5913907.192167819,0.0,1,-21.498336304255645,58618.501663695744,-21.498336304255645,3101263272.711599,3.505053744232677,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.0
5,2026-01-13 14:08:21.783288,Cumulative hike: +60bps,166099691.01132408,-1140260.0454847515,-7054167.23765257,-7054167.23765257,0.0,1,-33.79984542141756,57966.20015457858,-33.79984542141756,3054693482.665208,3.4898439486336343,0.05700000000000001,0.05700000000000001,0.05700000000000001,0.0
6,2026-01-14 14:08:21.783288,Cumulative hike: +70bps,164973112.27490306,-1126578.7364210188,-8180745.974073589,-8180745.974073589,0.0,1,-36.3423452927309,57323.65765470727,-36.3423452927309,3008941084.0989094,3.4747272973298795,0.05900000000000001,0.05900000000000001,0.05900000000000001,0.0
7,2026-01-15 14:08:21.783288,Cumulative hike: +80bps,163860011.19541085,-1113101.0794922113,-9293847.0535658,-9293847.0535658,0.0,1,-29.296959329025412,56690.703040670975,-29.296959329025412,2963990330.7070274,3.4597033545338043,0.06100000000000001,0.06100000000000001,0.06100000000000001,0.0
8,2026-01-16 14:08:21.783288,Cumulative hike: +90bps,162760187.6989748,-1099823.4964360595,-10393670.55000186,-10393670.55000186,0.0,1,-12.831508464048966,56067.16849153595,-12.831508464048966,2919825798.1653824,3.4447716781472546,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.0
9,2026-01-17 14:08:21.783288,Cumulative hike: +100bps,161673445.2208125,-1086742.4781622887,-11480413.028164148,-11480413.028164148,0.0,1,12.889421026062337,55452.88942102606,12.889421026062337,2876432377.2667227,3.4299318199899114,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.0
