day_index,date,modified_duration
0,2025-11-29 19:49:18.297268,3.563601214913929
1,2025-11-30 19:49:18.297268,3.548004150905535
2,2025-12-01 19:49:18.297268,3.5325019544244514
3,2025-12-02 19:49:18.297268,3.517094218236244
4,2025-12-03 19:49:18.297268,3.501780527833352
5,2025-12-04 19:49:18.297268,3.4865604616740806
6,2025-12-05 19:49:18.297268,3.471433591419096
7,2025-12-06 19:49:18.297268,3.456399482165309
8,2025-12-07 19:49:18.297268,3.441457692677124
9,2025-12-08 19:49:18.297268,3.4266077756149937
