day_index,date,dv01_pre_hedge,dv01_post_hedge,dv01
0,2025-11-29 19:49:18.297268,61282.291231841446,2.2912318414455513,2.2912318414455513
1,2025-11-30 19:49:18.297268,60589.67234505524,29.67234505523811,29.67234505523811
2,2025-12-01 19:49:18.297268,59907.52394398909,-12.476056010913453,-12.476056010913453
3,2025-12-02 19:49:18.297268,59235.66113699546,35.661136995462584,35.661136995462584
4,2025-12-03 19:49:18.297268,58573.90261785991,13.902617859908787,13.902617859908787
5,2025-12-04 19:49:18.297268,57922.07059191644,2.070591916439298,2.070591916439298
6,2025-12-05 19:49:18.297268,57279.99070375133,-0.00929624866694212,-0.00929624866694212
7,2025-12-06 19:49:18.297268,56647.49196645965,7.491966459652758,7.491966459652758
8,2025-12-07 19:49:18.297268,56024.40669242033,24.40669242032891,24.40669242032891
9,2025-12-08 19:49:18.297268,55410.570425555954,-29.42957444404601,-29.42957444404601
