date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,-1.4224497135728598e-09,684.7507220836425,-0.10168605082344784,684.7507220836425,-0.10168605082344784,-684.7507220836425,0.10168605082344784,0.0,3.0,200.0,0.0,600.0,-684.7507220836425,-84.75072208364247,0.10168605082344784,0.10168605082344784,-46110.90135238864,-5707.0873523886385,46110.90080652502,46110.90080652502,-5707.0873523886385,46110.90080652502,,,,,
2023-05-05,8516.564274495693,684.5098991987545,-0.10151008061408875,684.5098991987545,-0.10151008061408875,-684.5098991987545,0.10151008061408875,3.0,3.0,200.0,600.0,600.0,-84.50989919875451,-84.50989919875451,0.10151008061408875,0.10151008061408875,-5698.730732226725,-5698.730732226725,46158.35032382164,46158.35032382164,-5698.730732226725,46158.35032382164,,,,,
2023-05-08,31046.21943999362,677.1288992230026,-0.1002771992919873,677.1288992230026,-0.1002771992919873,-677.1288992230026,0.1002771992919873,3.0,3.0,200.0,600.0,600.0,-77.12889922300258,-77.12889922300258,0.1002771992919873,0.1002771992919873,-5208.183777430163,-5208.183777430163,45723.61195096163,45723.61195096163,-5208.183777430163,45723.61195096163,,,,,
2023-05-09,42821.330177338714,674.0081785360296,-0.09967774479648113,674.0081785360296,-0.09967774479648113,-674.0081785360296,0.09967774479648113,3.0,3.0,200.0,600.0,600.0,-74.00817853602962,-74.00817853602962,0.09967774479648113,0.09967774479648113,-5004.338440136473,-5004.338440136473,45575.57099178667,45575.57099178667,-5004.338440136473,45575.57099178667,,,,,
2023-05-10,54607.86143977339,670.8758485475597,-0.09907822559024958,670.8758485475597,-0.09907822559024958,-670.8758485475597,0.09907822559024958,3.0,3.0,200.0,600.0,600.0,-70.87584854755971,-70.87584854755971,0.09907822559024958,0.09907822559024958,-4799.126496583929,-4799.126496583929,45426.16477556294,45426.16477556294,-4799.126496583929,45426.16477556294,,,,,
2023-05-11,66408.77494945894,661.476942855514,-18.556024783645068,661.476942855514,-18.556024783645068,-661.476942855514,18.556024783645068,3.0,3.0,200.0,600.0,600.0,-61.47694285551404,-61.47694285551404,18.556024783645068,18.556024783645068,-4168.428317367022,-4168.428317367022,8531101.197717361,8531101.197717361,-4168.428317367022,8531101.197717361,,,,,
2023-05-12,77456.94940243739,575.1524352894004,-0.0847086109861199,575.1524352894004,-0.0847086109861199,-575.1524352894004,0.0847086109861199,3.0,3.0,200.0,600.0,600.0,24.847564710599613,24.847564710599613,0.0847086109861199,0.0847086109861199,1687.093829492685,1687.093829492685,39051.558778737664,39051.558778737664,1687.093829492685,39051.558778737664,,,,,
2023-05-15,99975.49322303504,562.990146920862,-0.08280391435051658,562.990146920862,-0.08280391435051658,-562.990146920862,0.08280391435051658,3.0,3.0,200.0,600.0,600.0,37.009853079138,37.009853079138,0.08280391435051658,0.08280391435051658,2516.3281993624646,2516.3281993624646,38278.13013049308,38278.13013049308,2516.3281993624646,38278.13013049308,,,,,
2023-05-16,111060.39425052641,558.2237549129302,-0.08199071483562041,558.2237549129302,-0.08199071483562041,-558.2237549129302,0.08199071483562041,3.0,3.0,200.0,600.0,600.0,41.77624508706981,41.77624508706981,0.08199071483562041,0.08199071483562041,2844.2844696988764,2844.2844696988764,38005.97935332916,38005.97935332916,2844.2844696988764,38005.97935332916,,,,,
2023-05-17,122154.79564518566,553.3568694334991,-0.08116499872911345,553.3568694334991,-0.08116499872911345,-553.3568694334991,0.08116499872911345,3.0,3.0,200.0,600.0,600.0,46.64313056650087,46.64313056650087,0.08116499872911345,0.08116499872911345,3179.97871206167,3179.97871206167,37726.09279258176,37726.09279258176,3179.97871206167,37726.09279258176,,,,,
2023-05-18,136201.21388299152,545.0591974192577,-0.07983900014409227,545.0591974192577,-0.07983900014409227,-545.0591974192577,0.07983900014409227,3.0,3.0,200.0,600.0,600.0,54.94080258074234,54.94080258074234,0.07983900014409227,0.07983900014409227,3750.797396101627,3750.797396101627,37211.08235185965,37211.08235185965,3750.797396101627,37211.08235185965,,,,,
2023-05-19,147305.44416328517,539.9664369234537,-0.07898541108592212,539.9664369234537,-0.07898541108592212,-539.9664369234537,0.07898541108592212,3.0,3.0,200.0,600.0,600.0,60.03356307654633,60.03356307654633,0.07898541108592212,0.07898541108592212,4104.062876339787,4104.062876339787,36913.62144309097,36913.62144309097,4104.062876339787,36913.62144309097,,,,,
2023-05-22,171060.77647346596,525.4605192045551,-0.07675907284944274,525.4605192045551,-0.07675907284944274,-525.4605192045551,0.07675907284944274,3.0,3.0,200.0,600.0,600.0,74.53948079544489,74.53948079544489,0.07675907284944274,0.07675907284944274,5102.661090789078,5102.661090789078,35970.82861233502,35970.82861233502,5102.661090789078,35970.82861233502,,,,,
2023-05-23,182443.0089177093,519.9226664228568,-0.0758470577173779,519.9226664228568,-0.0758470577173779,-519.9226664228568,0.0758470577173779,3.0,3.0,200.0,600.0,600.0,80.07733357714324,80.07733357714324,0.0758470577173779,0.0758470577173779,5489.207372493252,5489.207372493252,35640.09122783318,35640.09122783318,5489.207372493252,35640.09122783318,,,,,
2023-05-24,193299.76332545638,401.086810992838,-0.05843182220042727,401.086810992838,-0.05843182220042727,-401.086810992838,0.05843182220042727,3.0,2.0,200.0,600.0,400.0,198.91318900716198,-1.086810992838025,0.05843182220042727,0.05843182220042727,13653.767035461917,-74.6007048695759,27531.333471415564,27531.333471415564,-74.6007048695759,27531.333471415564,,,,,
2023-05-25,203766.28774134684,391.1948857012972,-0.05691361581865637,391.1948857012972,-0.05691361581865637,-391.1948857012972,0.05691361581865637,2.0,2.0,200.0,400.0,400.0,8.80511429870279,8.80511429870279,0.05691361581865637,0.05691361581865637,605.2182045949291,605.2182045949291,26888.721185969185,26888.721185969185,605.2182045949291,26888.721185969185,,,,,
2023-05-26,214280.88233851703,380.51928395215396,-0.05528564758469717,380.51928395215396,-0.05528564758469717,-380.51928395215396,0.05528564758469717,2.0,2.0,200.0,400.0,400.0,19.480716047846045,19.480716047846045,0.05528564758469717,0.05528564758469717,1340.8159957646183,1340.8159957646183,26190.327771473676,26190.327771473676,1340.8159957646183,26190.327771473676,,,,,
2023-05-29,240007.4514685161,342.49284923033,-0.049693628839900354,342.49284923033,-0.049693628839900354,-342.49284923033,0.049693628839900354,2.0,2.0,200.0,400.0,400.0,57.50715076966998,57.50715076966998,0.049693628839900354,0.049693628839900354,3963.4428948330287,3963.4428948330287,23604.903049999844,23604.903049999844,3963.4428948330287,23604.903049999844,,,,,
2023-05-30,248372.1008569632,328.0099056077734,-0.04752810393022984,328.0099056077734,-0.04752810393022984,-328.0099056077734,0.04752810393022984,2.0,2.0,200.0,400.0,400.0,71.99009439222658,71.99009439222658,0.04752810393022984,0.04752810393022984,4968.315821086894,4968.315821086894,22637.235699221488,22637.235699221488,4968.315821086894,22637.235699221488,,,,,
2023-05-31,260016.71983441417,306.6267415128218,-0.04436992294008771,306.6267415128218,-0.04436992294008771,-306.6267415128218,0.04436992294008771,2.0,2.0,200.0,400.0,400.0,93.37325848717819,93.37325848717819,0.04436992294008771,0.04436992294008771,6452.735672163842,6452.735672163842,21190.021390793845,21190.021390793845,6452.735672163842,21190.021390793845,,,,,
2023-06-01,272218.65065645846,278.26677041914047,-0.04021201832693299,278.26677041914047,-0.04021201832693299,-278.26677041914047,0.04021201832693299,2.0,1.0,200.0,400.0,200.0,121.73322958085953,-78.26677041914047,0.04021201832693299,0.04021201832693299,8423.927609598604,-5416.052876589241,19256.033643614497,19256.033643614497,-5416.052876589241,19256.033643614497,,,,,
2023-06-02,285432.87884522567,234.1547487860526,-0.03379202339132355,234.1547487860526,-0.03379202339132355,-234.1547487860526,0.03379202339132355,1.0,1.0,200.0,200.0,200.0,-34.15474878605261,-34.15474878605261,0.03379202339132355,0.03379202339132355,-2366.6820379614514,-2366.6820379614514,16225.26638675481,16225.26638675481,-2366.6820379614514,16225.26638675481,,,,,
2023-06-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,200.0,200.0,0.0,200.0,0.0,-0.0,-0.0,13877.18473480663,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-06,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-07,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-08,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-09,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-20,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
2023-06-26,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,
