day_index,date,label,portfolio_value,daily_pnl,cumulative_pnl,net_pnl,transaction_costs,num_trades,dv01,dv01_pre_hedge,dv01_post_hedge,convexity,modified_duration,rate,short_rate,long_rate,spread
0,2026-01-08 14:08:21.781839,,171942006.60851467,-1211851.6404619813,-1211851.6404619813,-1211851.6404619813,0.0,0,61328.83977154044,61328.83977154044,61328.83977154044,3296042940.691439,3.566832851449542,0.047,0.047,0.047,0.0
1,2026-01-09 14:08:21.781839,,170744910.7366163,-1197095.871898353,-2408947.5123603344,-2408947.5123603344,0.0,0,60635.722483896694,60635.722483896694,60635.722483896694,3246039433.0225496,3.5512462551478747,0.049,0.049,0.049,0.0
2,2026-01-10 14:08:21.781839,,169562348.0000888,-1182562.7365275025,-3591510.248887837,-3591510.248887837,0.0,0,59953.08313305443,59953.08313305443,59953.08313305443,3196919664.64768,3.5357544785250923,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0
3,2026-01-11 14:08:21.781839,,168394099.71238416,-1168248.2877046466,-4759758.5365924835,-4759758.5365924835,0.0,0,59280.736677252906,59280.736677252906,59280.736677252906,3148666529.5443726,3.520357113372972,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.0
4,2026-01-12 14:08:21.781839,,167239951.05680883,-1154148.655575335,-5913907.192167819,-5913907.192167819,0.0,0,58618.501663695744,58618.501663695744,58618.501663695744,3101263272.711599,3.505053744232677,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.0
