day_index,date,dv01_pre_hedge,dv01_post_hedge,dv01
0,2026-01-08 14:08:21.781839,61328.83977154044,61328.83977154044,61328.83977154044
1,2026-01-09 14:08:21.781839,60635.722483896694,60635.722483896694,60635.722483896694
2,2026-01-10 14:08:21.781839,59953.08313305443,59953.08313305443,59953.08313305443
3,2026-01-11 14:08:21.781839,59280.736677252906,59280.736677252906,59280.736677252906
4,2026-01-12 14:08:21.781839,58618.501663695744,58618.501663695744,58618.501663695744
