tag,trade_date,universe,mode,tenor,pillar,maturity,strike_over_forward,bid_iv,market_iv,ask_iv,model_iv,error_iv,inside_public_band
20260430,2026-04-30,core,free,1M,10P,0.0958904109589041,0.9896368946092541,0.02625,0.026375000000000003,0.0265,0.027315640001908857,0.0009406400019088546,False
20260430,2026-04-30,core,free,1M,25P,0.0958904109589041,0.9946386051392448,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.02589268981883281,-0.00010731018116719171,False
20260430,2026-04-30,core,free,1M,ATM,0.0958904109589041,1.0,0.0245,0.025249999999999998,0.026000000000000002,0.025236819488251922,-1.3180511748075996e-05,True
20260430,2026-04-30,core,free,1M,25C,0.0958904109589041,1.0054554677965568,0.023,0.026000000000000002,0.028999999999999998,0.02599910594767299,-8.940523270120626e-07,True
20260430,2026-04-30,core,free,1M,10C,0.0958904109589041,1.010639778062223,0.02275,0.026625,0.0305,0.027512518339019527,0.0008875183390195281,True
20260430,2026-04-30,core,free,2M,10P,0.17534246575342466,0.9848401875309479,0.02675,0.028685000000000002,0.03025,0.029316415649903286,0.0006314156499032837,True
20260430,2026-04-30,core,free,2M,25P,0.17534246575342466,0.9924505827049687,0.025875,0.027273000000000002,0.028300000000000002,0.027271248395517825,-1.7516044821773435e-06,True
20260430,2026-04-30,core,free,2M,ATM,0.17534246575342466,1.0,0.026000000000000002,0.02656,0.02675,0.026378280103565712,-0.00018171989643428824,True
20260430,2026-04-30,core,free,2M,25C,0.17534246575342466,1.0078460003424325,0.026125,0.027648000000000002,0.0288,0.02743126132211597,-0.0002167386778840312,True
20260430,2026-04-30,core,free,2M,10C,0.17534246575342466,1.0159511694459298,0.02725,0.029435,0.03125,0.02964693136952882,0.00021193136952881927,True
20260430,2026-04-30,core,free,3M,10P,0.26575342465753427,0.979522333263664,0.031661,0.031661,0.031661,0.03129704141011991,-0.0003639585898800937,False
20260430,2026-04-30,core,free,3M,25P,0.26575342465753427,0.990091657336937,0.029310999999999997,0.029310999999999997,0.029310999999999997,0.02872890636743201,-0.0005820936325679864,False
20260430,2026-04-30,core,free,3M,ATM,0.26575342465753427,1.0,0.028411,0.028411,0.028411,0.027666491751296412,-0.0007445082487035869,False
20260430,2026-04-30,core,free,3M,25C,0.26575342465753427,1.0103268943327965,0.029561,0.029561,0.029561,0.02891067511542857,-0.0006503248845714307,False
20260430,2026-04-30,core,free,3M,10C,0.26575342465753427,1.0215179707826134,0.032161,0.032161,0.032161,0.03164259880097306,-0.0005184011990269424,False
20260430,2026-04-30,core,free,6M,10P,0.5178082191780822,0.9688641833596915,0.03325,0.034956,0.0365,0.034797840707712684,-0.00015815929228731734,True
20260430,2026-04-30,core,free,6M,25P,0.5178082191780822,0.9851735806183258,0.0305,0.032081,0.0335,0.031840951861110044,-0.00024004813888995474,True
20260430,2026-04-30,core,free,6M,ATM,0.5178082191780822,1.0,0.0285,0.030581,0.0325,0.03070919435017275,0.00012819435017275005,True
20260430,2026-04-30,core,free,6M,25C,0.5178082191780822,1.0155906380807411,0.0275,0.032081,0.0365,0.03204972302477015,-3.1276975229845017e-05,True
20260430,2026-04-30,core,free,6M,10C,0.5178082191780822,1.0330303628696558,0.029750000000000002,0.035206,0.0405,0.035182675679214806,-2.3324320785195196e-05,True
20260430,2026-04-30,core,free,9M,10P,0.7671232876712328,0.9600948925301938,0.037267,0.037267,0.037267,0.03709905229503677,-0.0001679477049632283,False
20260430,2026-04-30,core,free,9M,25P,0.7671232876712328,0.9812791942237757,0.033967,0.033967,0.033967,0.0340460022823522,7.900228235220574e-05,False
20260430,2026-04-30,core,free,9M,ATM,0.7671232876712328,1.0,0.032267000000000004,0.032267000000000004,0.032267000000000004,0.03296305159482891,0.0006960515948289045,False
20260430,2026-04-30,core,free,9M,25C,0.7671232876712328,1.0199803191756587,0.033967,0.033967,0.033967,0.03428244329718057,0.0003154432971805704,False
20260430,2026-04-30,core,free,9M,10C,0.7671232876712328,1.0432662989804875,0.037767,0.037767,0.037767,0.037590075076828905,-0.00017692492317109704,False
20260430,2026-04-30,core,free,1Y,10P,1.0,0.9530373648236281,0.0388,0.0388,0.0388,0.038621709227391145,-0.00017829077260885645,False
20260430,2026-04-30,core,free,1Y,25P,1.0,0.9778857841520934,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.03561754117805821,-0.00013245882194179437,False
20260430,2026-04-30,core,free,1Y,ATM,1.0,1.0,0.034,0.034,0.034,0.034575327384034814,0.0005753273840348114,False
20260430,2026-04-30,core,free,1Y,25C,1.0,1.023922114215127,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.0358776011477119,0.0001276011477118963,False
20260430,2026-04-30,core,free,1Y,10C,1.0,1.0515399343887812,0.0393,0.0393,0.0393,0.03915305175614378,-0.00014694824385622085,False
20260430,2026-04-30,core,hard_feller,1M,10P,0.0958904109589041,0.9896368946092541,0.02625,0.026375000000000003,0.0265,0.026996915309860068,0.0006219153098600654,False
20260430,2026-04-30,core,hard_feller,1M,25P,0.0958904109589041,0.9946386051392448,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026244033867955173,0.00024403386795517068,False
20260430,2026-04-30,core,hard_feller,1M,ATM,0.0958904109589041,1.0,0.0245,0.025249999999999998,0.026000000000000002,0.025953083712770025,0.0007030837127700272,True
