tag,trade_date,universe,mode,tenor,pillar,maturity,strike_over_forward,bid_iv,market_iv,ask_iv,model_iv,error_iv,inside_public_band
20260720,2026-07-20,core,free,1M,10P,0.08493150684931507,0.9931881379151511,0.018369,0.018369,0.018369,0.020421620457482456,0.0020526204574824562,False
20260720,2026-07-20,core,free,1M,25P,0.08493150684931507,0.9963284759749207,0.018869,0.018869,0.018869,0.019437609365764795,0.0005686093657647946,False
20260720,2026-07-20,core,free,1M,ATM,0.08493150684931507,1.0,0.019018999999999998,0.019018999999999998,0.019018999999999998,0.0190510695396318,3.206953963180367e-05,False
20260720,2026-07-20,core,free,1M,25C,0.08493150684931507,1.0041118030183545,0.020869,0.020869,0.020869,0.019996348228880845,-0.0008726517711191532,False
20260720,2026-07-20,core,free,1M,10C,0.08493150684931507,1.0080195249148975,0.021369,0.021369,0.021369,0.021525106742711127,0.00015610674271112832,False
20260720,2026-07-20,core,free,2M,10P,0.1643835616438356,0.9885418521153272,0.022324999999999998,0.022324999999999998,0.022324999999999998,0.02286985882499943,0.0005448588249994321,False
20260720,2026-07-20,core,free,2M,25P,0.1643835616438356,0.9943279071942173,0.021099999999999997,0.021099999999999997,0.021099999999999997,0.0211454087134763,4.54087134763026e-05,False
20260720,2026-07-20,core,free,2M,ATM,0.1643835616438356,1.0,0.02105,0.02105,0.02105,0.02052988477463745,-0.0005201152253625496,False
20260720,2026-07-20,core,free,2M,25C,0.1643835616438356,1.0062620807597638,0.022850000000000002,0.022850000000000002,0.022850000000000002,0.021817226101833745,-0.0010327738981662574,False
20260720,2026-07-20,core,free,2M,10C,0.1643835616438356,1.0128625128071918,0.024575,0.024575,0.024575,0.024103675926785487,-0.000471324073214513,False
20260720,2026-07-20,core,free,3M,10P,0.25205479452054796,0.9842082472168118,0.024975,0.024975,0.024975,0.02500648716461763,3.148716461762874e-05,False
20260720,2026-07-20,core,free,3M,25P,0.25205479452054796,0.9924770396311086,0.022763,0.022763,0.022763,0.02282427479213556,6.127479213556206e-05,False
20260720,2026-07-20,core,free,3M,ATM,0.25205479452054796,1.0,0.0225,0.0225,0.0225,0.022099398318492197,-0.000400601681507802,False
20260720,2026-07-20,core,free,3M,25C,0.25205479452054796,1.0082264598710262,0.024263,0.024263,0.024263,0.023549072898406794,-0.0007139271015932057,False
20260720,2026-07-20,core,free,3M,10C,0.25205479452054796,1.0173561578626487,0.026725,0.026725,0.026725,0.026288925107549436,-0.00043607489245056294,False
20260720,2026-07-20,core,free,6M,10P,0.5041095890410959,0.9740968540362355,0.02785,0.02935,0.03085,0.029414213133082578,6.421313308257667e-05,True
20260720,2026-07-20,core,free,6M,25P,0.5041095890410959,0.987775944560131,0.02665,0.026699999999999998,0.02675,0.026741178073594368,4.1178073594369535e-05,True
20260720,2026-07-20,core,free,6M,ATM,0.5041095890410959,1.0,0.025249999999999998,0.0255,0.025750000000000002,0.025897025006312392,0.0003970250063123938,False
20260720,2026-07-20,core,free,6M,25C,0.5041095890410959,1.0129827958376083,0.02665,0.027200000000000002,0.02775,0.027508258447546653,0.00030825844754665127,True
20260720,2026-07-20,core,free,6M,10C,0.5041095890410959,1.0279797103602637,0.02785,0.030350000000000002,0.032850000000000004,0.030777871378157618,0.00042787137815761614,True
20260720,2026-07-20,core,free,9M,10P,0.7506849315068493,0.964620275283554,0.031,0.033275,0.03515,0.03266937194986968,-0.0006056280501303204,True
20260720,2026-07-20,core,free,9M,25P,0.7506849315068493,0.9834937515794964,0.029825,0.030163000000000002,0.0301,0.029662707498913577,-0.0005002925010864252,False
20260720,2026-07-20,core,free,9M,ATM,0.7506849315068493,1.0,0.027999999999999997,0.0285,0.0286,0.028763965150887742,0.0002639651508877412,False
20260720,2026-07-20,core,free,9M,25C,0.7506849315068493,1.0175524644577503,0.029575,0.030288,0.030600000000000002,0.03050192838339836,0.00021392838339836032,True
20260720,2026-07-20,core,free,9M,10C,0.7506849315068493,1.0384114879897974,0.031,0.034025,0.03665,0.034168586302074394,0.00014358630207439438,True
20260720,2026-07-20,core,free,1Y,10P,1.0,0.9565890175826571,0.0338,0.035796,0.03785,0.03507331108442978,-0.0007226889155702229,True
20260720,2026-07-20,core,free,1Y,25P,1.0,0.97997771643909,0.032345,0.032345,0.032395,0.0319379177348816,-0.00040708226511839557,False
20260720,2026-07-20,core,free,1Y,ATM,1.0,1.0,0.0305,0.030600000000000002,0.030750000000000003,0.031068178080166813,0.00046817808016681034,False
20260720,2026-07-20,core,free,1Y,25C,1.0,1.0214994991106199,0.032095,0.032345,0.032645,0.03283353229051415,0.0004885322905141543,False
20260720,2026-07-20,core,free,1Y,10C,1.0,1.0473987146854116,0.0338,0.036296,0.038849999999999996,0.0366588145439237,0.0003628145439237007,True
20260720,2026-07-20,core,hard_feller,1M,10P,0.08493150684931507,0.9931881379151511,0.018369,0.018369,0.018369,0.020129866555102658,0.001760866555102658,False
20260720,2026-07-20,core,hard_feller,1M,25P,0.08493150684931507,0.9963284759749207,0.018869,0.018869,0.018869,0.019581484805112667,0.0007124848051126668,False
20260720,2026-07-20,core,hard_feller,1M,ATM,0.08493150684931507,1.0,0.019018999999999998,0.019018999999999998,0.019018999999999998,0.019448378032532302,0.00042937803253230433,False
20260720,2026-07-20,core,hard_feller,1M,25C,0.08493150684931507,1.0041118030183545,0.020869,0.020869,0.020869,0.02006563061975942,-0.0008033693802405803,False
20260720,2026-07-20,core,hard_feller,1M,10C,0.08493150684931507,1.0080195249148975,0.021369,0.021369,0.021369,0.021088145553628333,-0.00028085444637166584,False
20260720,2026-07-20,core,hard_feller,2M,10P,0.1643835616438356,0.9885418521153272,0.022324999999999998,0.022324999999999998,0.022324999999999998,0.02237217483445563,4.7174834455633585e-05,False
20260720,2026-07-20,core,hard_feller,2M,25P,0.1643835616438356,0.9943279071942173,0.021099999999999997,0.021099999999999997,0.021099999999999997,0.021318078909537165,0.00021807890953716783,False
20260720,2026-07-20,core,hard_feller,2M,ATM,0.1643835616438356,1.0,0.02105,0.02105,0.02105,0.021056612271735373,6.612271735373376e-06,False
20260720,2026-07-20,core,hard_feller,2M,25C,0.1643835616438356,1.0062620807597638,0.022850000000000002,0.022850000000000002,0.022850000000000002,0.021923473164094164,-0.000926526835905838,False
20260720,2026-07-20,core,hard_feller,2M,10C,0.1643835616438356,1.0128625128071918,0.024575,0.024575,0.024575,0.02351415184022933,-0.0010608481597706686,False
20260720,2026-07-20,core,hard_feller,3M,10P,0.25205479452054796,0.9842082472168118,0.024975,0.024975,0.024975,0.02440819785461439,-0.0005668021453856115,False
20260720,2026-07-20,core,hard_feller,3M,25P,0.25205479452054796,0.9924770396311086,0.022763,0.022763,0.022763,0.02302448593598803,0.0002614859359880324,False
