tag,trade_date,universe,mode,v0,kappa,theta,sigma,rho,rmse_vol_points,feller_ratio,inside_nonzero_public_band_pct,jacobian_condition,jacobian_rank
20260430,2026-04-30,core,free,0.0005842516931962752,1.8498968965648295,0.002068818447750762,0.11007246434253183,0.00976526682166276,0.0412051127893992,0.6317460282167666,92.85714285714286,29.834232029354947,5
20260430,2026-04-30,core,hard_feller,0.0006109126619636333,1.00211994677758,0.0027569023715580962,0.07433359792361506,0.013586936798812756,0.06619200832720534,1.0000017981129423,85.71428571428571,50.88403755691845,5
20260515,2026-05-15,core,free,0.0005670530833589522,2.3861425809199903,0.0019214644260234254,0.12110348546700696,-0.05962287185866953,0.04569716049124825,0.6252381212498064,90.0,25.20956591019924,5
20260515,2026-05-15,core,hard_feller,0.0006150085085446655,1.0022655518874053,0.0028249524863329057,0.0752508812340676,-0.06851737738076687,0.07501910461449635,1.0000017657734213,80.0,48.99783603259467,5
20260615,2026-06-15,core,free,0.00033847803105103107,1.0035920410475476,0.0028486095615387116,0.09835661740993978,-0.04946530262927846,0.04613387071485443,0.5910346776809345,86.66666666666667,41.464793830713184,5
20260615,2026-06-15,core,hard_feller,0.0003341514834190216,0.9989617655520887,0.0028127922781974947,0.07496488476965393,-0.05659104881767248,0.06867110835323384,1.000001767377513,86.66666666666667,41.584788678610785,5
20260630,2026-06-30,core,free,0.00046524659061428534,0.4211769950015535,0.0045250558116993475,0.08490511399075093,-0.011023909045045,0.042170714991538655,0.5287506066969108,90.0,101.88858594778428,5
20260630,2026-06-30,core,hard_feller,0.00045716547390971517,0.4988056680385681,0.003894133621373887,0.06232833902564944,-0.012352571465389477,0.07479449316198558,1.0000025739109288,95.0,90.8601698828496,5
20260715,2026-07-15,core,free,0.00032463416622160643,0.9102488907465227,0.00278350879742266,0.09401020579331748,0.0584292887096363,0.05119970105625085,0.5733670685359539,100.0,45.02173540564447,5
20260715,2026-07-15,core,hard_feller,0.0003169402077886298,0.9979064167186453,0.0025777147117852397,0.07172604898316105,0.07001403171173563,0.07344031378350364,1.0000019437731857,100.0,41.376064013385964,5
20260720,2026-07-20,core,free,0.0003146807564749678,1.0962739579305774,0.0024784387833511976,0.09709608882725673,0.05672120132861097,0.05921417482362009,0.5763997942947495,60.0,38.522869258329784,5
20260720,2026-07-20,core,hard_feller,0.0003133482128836813,0.9988194512414873,0.002588819598935053,0.07191325847643917,0.06798409154673819,0.07862226855475672,1.0000019332130932,53.333333333333336,41.869828096875494,5
