tag,trade_date,universe,mode,tenor,pillar,maturity,strike_over_forward,bid_iv,market_iv,ask_iv,model_iv,error_iv,inside_public_band
latest,2026-07-20,core,free,1M,10P,0.08493150684931507,0.9931881379151511,0.018369,0.018369,0.018369,0.020421620457482456,0.0020526204574824562,False
latest,2026-07-20,core,free,1M,25P,0.08493150684931507,0.9963284759749207,0.018869,0.018869,0.018869,0.019437609365764795,0.0005686093657647946,False
latest,2026-07-20,core,free,1M,ATM,0.08493150684931507,1.0,0.019018999999999998,0.019018999999999998,0.019018999999999998,0.0190510695396318,3.206953963180367e-05,False
latest,2026-07-20,core,free,1M,25C,0.08493150684931507,1.0041118030183545,0.020869,0.020869,0.020869,0.019996348228880845,-0.0008726517711191532,False
latest,2026-07-20,core,free,1M,10C,0.08493150684931507,1.0080195249148975,0.021369,0.021369,0.021369,0.021525106742711127,0.00015610674271112832,False
latest,2026-07-20,core,free,2M,10P,0.1643835616438356,0.9885418521153272,0.022324999999999998,0.022324999999999998,0.022324999999999998,0.02286985882499943,0.0005448588249994321,False
latest,2026-07-20,core,free,2M,25P,0.1643835616438356,0.9943279071942173,0.021099999999999997,0.021099999999999997,0.021099999999999997,0.0211454087134763,4.54087134763026e-05,False
latest,2026-07-20,core,free,2M,ATM,0.1643835616438356,1.0,0.02105,0.02105,0.02105,0.02052988477463745,-0.0005201152253625496,False
latest,2026-07-20,core,free,2M,25C,0.1643835616438356,1.0062620807597638,0.022850000000000002,0.022850000000000002,0.022850000000000002,0.021817226101833745,-0.0010327738981662574,False
latest,2026-07-20,core,free,2M,10C,0.1643835616438356,1.0128625128071918,0.024575,0.024575,0.024575,0.024103675926785487,-0.000471324073214513,False
latest,2026-07-20,core,free,3M,10P,0.25205479452054796,0.9842082472168118,0.024975,0.024975,0.024975,0.02500648716461763,3.148716461762874e-05,False
latest,2026-07-20,core,free,3M,25P,0.25205479452054796,0.9924770396311086,0.022763,0.022763,0.022763,0.02282427479213556,6.127479213556206e-05,False
latest,2026-07-20,core,free,3M,ATM,0.25205479452054796,1.0,0.0225,0.0225,0.0225,0.022099398318492197,-0.000400601681507802,False
