scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
30,standard,1.0,0.01,0.05,0.216667,105.0,70.0,NONE,0.0,FULL,0.0,0.1031872964549999,0.5644029627825518,0.5644029627825518,0.0,99.43559703721745,,,,
31,standard,1.0,0.01,0.05,0.216667,105.0,75.0,NONE,0.0,FULL,0.0,0.16982875255232482,0.5644029627825518,0.5644029627825518,0.0,99.43559703721745,,,,
32,standard,1.0,0.01,0.05,0.216667,105.0,80.0,NONE,0.0,FULL,0.0,0.26566742674841237,0.5644029627825518,0.5644029627825518,0.0,99.43559703721745,,,,
33,standard,1.0,0.01,0.05,0.283333,97.5,65.0,NONE,0.0,FULL,0.0,0.1780281543148337,0.29054741254896044,0.29054741254896044,0.0,99.70945258745104,,,,
34,standard,1.0,0.01,0.05,0.283333,97.5,70.0,NONE,0.0,FULL,0.0,0.2505315679497176,0.29054741254896044,0.29054741254896044,0.0,99.70945258745104,,,,
35,standard,1.0,0.01,0.05,0.283333,97.5,75.0,NONE,0.0,FULL,0.0,0.3195659325003304,0.29054741254896044,0.29054741254896044,0.0,99.70945258745104,,,,
36,standard,1.0,0.01,0.05,0.283333,97.5,80.0,NONE,0.0,FULL,0.0,0.3536170474345926,0.29054741254896044,0.29054741254896044,0.0,99.70945258745104,,,,
37,standard,1.0,0.01,0.05,0.283333,100.0,65.0,NONE,0.0,FULL,0.0,0.17430099048710962,0.36405147199039334,0.36405147199039334,0.0,99.6359485280096,,,,
38,standard,1.0,0.01,0.05,0.283333,100.0,70.0,NONE,0.0,FULL,0.0,0.25470814583298235,0.36405147199039334,0.36405147199039334,0.0,99.6359485280096,,,,
39,standard,1.0,0.01,0.05,0.283333,100.0,75.0,NONE,0.0,FULL,0.0,0.34295381389544904,0.36405147199039334,0.36405147199039334,0.0,99.6359485280096,,,,
40,standard,1.0,0.01,0.05,0.283333,100.0,80.0,NONE,0.0,FULL,0.0,0.4036024538502021,0.36405147199039334,0.36405147199039334,0.0,99.6359485280096,,,,
41,standard,1.0,0.01,0.05,0.283333,102.5,65.0,NONE,0.0,FULL,0.0,0.16575918614935836,0.44056144230609107,0.44056144230609107,0.0,99.55943855769391,,,,
42,standard,1.0,0.01,0.05,0.283333,102.5,70.0,NONE,0.0,FULL,0.0,0.2479211106194728,0.44056144230609107,0.44056144230609107,0.0,99.55943855769391,,,,
43,standard,1.0,0.01,0.05,0.283333,102.5,75.0,NONE,0.0,FULL,0.0,0.3458871918959184,0.44056144230609107,0.44056144230609107,0.0,99.55943855769391,,,,
44,standard,1.0,0.01,0.05,0.283333,102.5,80.0,NONE,0.0,FULL,0.0,0.4326061077890349,0.44056144230609107,0.44056144230609107,0.0,99.55943855769391,,,,
45,standard,1.0,0.01,0.05,0.283333,105.0,65.0,NONE,0.0,FULL,0.0,0.155722796210806,0.516772155001064,0.516772155001064,0.0,99.48322784499894,,,,
46,standard,1.0,0.01,0.05,0.283333,105.0,70.0,NONE,0.0,FULL,0.0,0.23550782961002278,0.516772155001064,0.516772155001064,0.0,99.48322784499894,,,,
47,standard,1.0,0.01,0.05,0.283333,105.0,75.0,NONE,0.0,FULL,0.0,0.3362716404248512,0.516772155001064,0.516772155001064,0.0,99.48322784499894,,,,
48,standard,1.0,0.01,0.05,0.283333,105.0,80.0,NONE,0.0,FULL,0.0,0.44340030685435755,0.516772155001064,0.516772155001064,0.0,99.48322784499894,,,,
49,standard,1.0,0.01,0.05,0.35,97.5,65.0,NONE,0.0,FULL,0.0,0.30720321736192774,0.30470363188149463,0.30470363188149463,0.0,99.6952963681185,,,,
50,standard,1.0,0.01,0.05,0.35,97.5,70.0,NONE,0.0,FULL,0.0,0.3817275707924016,0.30470363188149463,0.30470363188149463,0.0,99.6952963681185,,,,
51,standard,1.0,0.01,0.05,0.35,97.5,75.0,NONE,0.0,FULL,0.0,0.4248564050023079,0.30470363188149463,0.30470363188149463,0.0,99.6952963681185,,,,
52,standard,1.0,0.01,0.05,0.35,97.5,80.0,NONE,0.0,FULL,0.0,0.4369727764896658,0.30470363188149463,0.30470363188149463,0.0,99.6952963681185,,,,
53,standard,1.0,0.01,0.05,0.35,100.0,65.0,NONE,0.0,FULL,0.0,0.3115382287051896,0.3650634406012614,0.3650634406012614,0.0,99.63493655939874,,,,
54,standard,1.0,0.01,0.05,0.35,100.0,70.0,NONE,0.0,FULL,0.0,0.40233551959544517,0.3650634406012614,0.3650634406012614,0.0,99.63493655939874,,,,
55,standard,1.0,0.01,0.05,0.35,100.0,75.0,NONE,0.0,FULL,0.0,0.4679398202577961,0.3650634406012614,0.3650634406012614,0.0,99.63493655939874,,,,
56,standard,1.0,0.01,0.05,0.35,100.0,80.0,NONE,0.0,FULL,0.0,0.49417376466663465,0.3650634406012614,0.3650634406012614,0.0,99.63493655939874,,,,
57,standard,1.0,0.01,0.05,0.35,102.5,65.0,NONE,0.0,FULL,0.0,0.3060228348207827,0.4268979489294793,0.4268979489294793,0.0,99.57310205107052,,,,
58,standard,1.0,0.01,0.05,0.35,102.5,70.0,NONE,0.0,FULL,0.0,0.40693850212449445,0.4268979489294793,0.4268979489294793,0.0,99.57310205107052,,,,
59,standard,1.0,0.01,0.05,0.35,102.5,75.0,NONE,0.0,FULL,0.0,0.4941043952553702,0.4268979489294793,0.4268979489294793,0.0,99.57310205107052,,,,
60,standard,1.0,0.01,0.05,0.35,102.5,80.0,NONE,0.0,FULL,0.0,0.5392208570293081,0.4268979489294793,0.4268979489294793,0.0,99.57310205107052,,,,
61,standard,1.0,0.01,0.05,0.35,105.0,65.0,NONE,0.0,FULL,0.0,0.29369321399929477,0.4884999284371787,0.4884999284371787,0.0,99.51150007156282,,,,
62,standard,1.0,0.01,0.05,0.35,105.0,70.0,NONE,0.0,FULL,0.0,0.3997253701215344,0.4884999284371787,0.4884999284371787,0.0,99.51150007156282,,,,
63,standard,1.0,0.01,0.05,0.35,105.0,75.0,NONE,0.0,FULL,0.0,0.5031434084724847,0.4884999284371787,0.4884999284371787,0.0,99.51150007156282,,,,
64,standard,1.0,0.01,0.05,0.35,105.0,80.0,NONE,0.0,FULL,0.0,0.5734360991819054,0.4884999284371787,0.4884999284371787,0.0,99.51150007156282,,,,
65,standard,1.0,0.01,0.083333,0.15,97.5,65.0,NONE,0.0,FULL,0.0,0.024135880477378656,0.26447717088669265,0.26447717088669265,0.0,99.73552282911331,,,,
66,standard,1.0,0.01,0.083333,0.15,97.5,70.0,NONE,0.0,FULL,0.0,0.04937789268356187,0.26447717088669265,0.26447717088669265,0.0,99.73552282911331,,,,
67,standard,1.0,0.01,0.083333,0.15,97.5,75.0,NONE,0.0,FULL,0.0,0.09604103969014874,0.26447717088669265,0.26447717088669265,0.0,99.73552282911331,,,,
68,standard,1.0,0.01,0.083333,0.15,97.5,80.0,NONE,0.0,FULL,0.0,0.16880415957324252,0.26447717088669265,0.26447717088669265,0.0,99.73552282911331,,,,
69,standard,1.0,0.01,0.083333,0.15,100.0,65.0,NONE,0.0,FULL,0.0,0.02218712126321183,0.4093893047218842,0.4093893047218842,0.0,99.59061069527812,,,,
70,standard,1.0,0.01,0.083333,0.15,100.0,70.0,NONE,0.0,FULL,0.0,0.045538140221747986,0.4093893047218842,0.4093893047218842,0.0,99.59061069527812,,,,
71,standard,1.0,0.01,0.083333,0.15,100.0,75.0,NONE,0.0,FULL,0.0,0.09151413008209172,0.4093893047218842,0.4093893047218842,0.0,99.59061069527812,,,,
72,standard,1.0,0.01,0.083333,0.15,100.0,80.0,NONE,0.0,FULL,0.0,0.17222660824309827,0.4093893047218842,0.4093893047218842,0.0,99.59061069527812,,,,
73,standard,1.0,0.01,0.083333,0.15,102.5,65.0,NONE,0.0,FULL,0.0,0.020194770955002807,0.5626772864006,0.5626772864006,0.0,99.4373227135994,,,,
74,standard,1.0,0.01,0.083333,0.15,102.5,70.0,NONE,0.0,FULL,0.0,0.04043502910063274,0.5626772864006,0.5626772864006,0.0,99.4373227135994,,,,
75,standard,1.0,0.01,0.083333,0.15,102.5,75.0,NONE,0.0,FULL,0.0,0.08150497665236853,0.5626772864006,0.5626772864006,0.0,99.4373227135994,,,,
76,standard,1.0,0.01,0.083333,0.15,102.5,80.0,NONE,0.0,FULL,0.0,0.15598893277175294,0.5626772864006,0.5626772864006,0.0,99.4373227135994,,,,
77,standard,1.0,0.01,0.083333,0.15,105.0,65.0,NONE,0.0,FULL,0.0,0.018771558133483756,0.6959491305433687,0.6959491305433687,0.0,99.30405086945663,,,,
78,standard,1.0,0.01,0.083333,0.15,105.0,70.0,NONE,0.0,FULL,0.0,0.03635791313987708,0.6959491305433687,0.6959491305433687,0.0,99.30405086945663,,,,
79,standard,1.0,0.01,0.083333,0.15,105.0,75.0,NONE,0.0,FULL,0.0,0.07251671290745725,0.6959491305433687,0.6959491305433687,0.0,99.30405086945663,,,,
80,standard,1.0,0.01,0.083333,0.15,105.0,80.0,NONE,0.0,FULL,0.0,0.13797710029999233,0.6959491305433687,0.6959491305433687,0.0,99.30405086945663,,,,
