date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,-1.318767317570746e-10,-1.318767317570746e-10,0.0,0.0,0.0,0.0,-1.318767317570746e-10,0.0,-1.318767317570746e-10,6733.969,0.25,0.02,-0.05992608815920072,0.07992608815920071,0.08,IM2305,6717.385147125124,0.0410958904109589,200.0,1.0,True,False,False,False
2023-05-05,702.2226058058986,-1374.577402420302,2076.8000082262006,0.0,0.0,0.0,-1374.577402420302,2076.8000082262006,702.2226058058986,6743.2700621546965,0.25,0.02,-0.0599310118366834,0.0799310118366834,0.08,IM2305,6727.769147166255,0.038356164383561646,200.0,1.0,True,False,False,False
2023-05-08,-4435.366836790377,-9032.743080684737,4597.3762438943595,0.0,0.0,0.0,-9032.743080684737,4597.3762438943595,-4435.366836790377,6752.571124309392,0.25,0.02,-0.05994578610644806,0.07994578610644806,0.08,IM2305,6740.3720283445955,0.030136986301369864,200.0,1.0,True,False,False,False
2023-05-09,-6444.692559779585,-13120.845350083371,6676.152790303786,0.0,0.0,0.0,-13120.845350083371,6676.152790303786,-6444.692559779585,6761.872186464088,0.25,0.02,-0.05995071194236078,0.07995071194236078,0.08,IM2305,6750.765911076643,0.0273972602739726,200.0,1.0,True,False,False,False
2023-05-10,-8474.265394658869,-17229.841787337864,8755.576392678995,0.0,0.0,0.0,-17229.841787337864,8755.576392678995,-8474.265394658869,6771.173248618785,0.25,0.02,-0.05995563831804573,0.07995563831804572,0.08,IM2305,6761.163029088519,0.024657534246575342,200.0,1.0,True,False,False,False
2023-05-11,-10524.07340082436,-21359.720608410404,10835.647207586044,0.0,0.0,0.0,-21359.720608410404,10835.647207586044,-10524.07340082436,6780.47431077348,0.25,0.02,-0.059960565233573584,0.07996056523357359,0.08,IM2305,6771.563383163054,0.021917808219178082,200.0,1.0,True,False,False,False
2023-05-12,-12314.7205749481,-25231.085966574014,12916.365391625914,0.0,0.0,0.0,-25231.085966574014,12916.365391625914,-12314.7205749481,6789.775372928177,0.25,0.02,-0.059965492689002406,0.07996549268900241,0.08,IM2305,6781.966974083253,0.019178082191780823,200.0,1.0,True,False,False,False
2023-05-15,-17729.23049704774,-33173.65686289219,15444.426365844447,0.0,0.0,0.0,-33173.65686289219,15444.426365844447,-17729.23049704774,6799.076435082872,0.25,0.02,-0.059842468122140786,0.07984246812214078,0.08,IM2306,6763.405332413156,0.08767123287671233,200.0,1.0,True,False,False,False
2023-05-16,-19589.53937513449,-37107.09965386629,17517.5602787318,0.0,0.0,0.0,-37107.09965386629,17517.5602787318,-19589.53937513449,6808.377497237569,0.25,0.02,-0.059847382638171215,0.07984738263817122,0.08,IM2306,6773.771001977593,0.08493150684931507,200.0,1.0,True,False,False,False
2023-05-17,-21461.308405475895,-41052.64767329441,19591.339267818512,0.0,0.0,0.0,-41052.64767329441,19591.339267818512,-21461.308405475895,6817.678559392266,0.25,0.02,-0.05985229769258158,0.07985229769258158,0.08,IM2306,6784.139896923027,0.0821917808219178,200.0,1.0,True,False,False,False
2023-05-18,-26290.57994002363,-47956.34342919587,21665.76348917224,0.0,0.0,0.0,-47956.34342919587,21665.76348917224,-26290.57994002363,6826.9796215469605,0.25,0.02,-0.05985721328543439,0.0798572132854344,0.08,IM2306,6794.512018029795,0.07945205479452055,200.0,1.0,True,False,False,False
2023-05-19,-28093.862207415834,-51834.6953063114,23740.833098895564,0.0,0.0,0.0,-51834.6953063114,23740.833098895564,-28093.862207415834,6836.280683701658,0.25,0.02,-0.05986212941679896,0.07986212941679896,0.08,IM2306,6804.887366078412,0.07671232876712329,200.0,1.0,True,False,False,False
2023-05-22,-33908.89647040451,-60173.64547195495,26264.749001550445,0.0,0.0,0.0,-60173.64547195495,26264.749001550445,-33908.89647040451,6845.581745856354,0.25,0.02,-0.059876881042616854,0.07987688104261685,0.08,IM2306,6817.506945591686,0.0684931506849315,200.0,1.0,True,False,False,False
2023-05-23,-35791.20658063669,-64132.99918850164,28341.792607864954,0.0,0.0,0.0,-64132.99918850164,28341.792607864954,-35791.20658063669,6854.882808011049,0.25,0.02,-0.05988179932868509,0.0798817993286851,0.08,IM2306,6827.892163623259,0.06575342465753424,200.0,1.0,True,False,False,False
2023-05-24,-37479.1860366757,-67898.66832010487,30419.48228342917,0.0,0.0,0.0,-67898.66832010487,30419.48228342917,-37479.1860366757,6864.183870165746,0.25,0.02,-0.059886718153598445,0.07988671815359845,0.08,IM2306,6838.28061200108,0.06301369863013699,200.0,1.0,True,False,False,False
2023-05-25,-39020.40475129323,-71518.2229358248,32497.81818453157,0.0,0.0,0.0,-71518.2229358248,32497.81818453157,-39020.40475129323,6873.484932320443,0.25,0.02,-0.059891637517418606,0.07989163751741861,0.08,IM2306,6848.672291506592,0.06027397260273973,200.0,1.0,True,False,False,False
2023-05-26,-40569.409598622275,-75146.21006611692,34576.80046749465,0.0,0.0,0.0,-75146.21006611692,34576.80046749465,-40569.409598622275,6882.785994475138,0.25,0.02,-0.059896557420214394,0.0798965574202144,0.08,IM2306,6859.067202921407,0.057534246575342465,200.0,1.0,True,False,False,False
2023-05-29,-46962.330383773595,-84070.52480327421,37108.194419500614,0.0,0.0,0.0,-84070.52480327421,37108.194419500614,-46962.330383773595,6892.0870566298345,0.25,0.02,-0.059911320363122036,0.07991132036312204,0.08,IM2306,6871.724172681437,0.049315068493150684,200.0,1.0,True,False,False,False
2023-05-30,-47022.388048018045,-86211.54202194307,39189.15397392502,0.0,0.0,0.0,-86211.54202194307,39189.15397392502,-47022.388048018045,6901.388118784531,0.25,0.02,-0.05991624242248372,0.07991624242248373,0.08,IM2306,6882.128970453559,0.04657534246575343,200.0,1.0,True,False,False,False
2023-05-31,-49030.428855490856,-90301.18944757097,41270.760592080114,0.0,0.0,0.0,-90301.18944757097,41270.760592080114,-49030.428855490856,6910.689180939226,0.25,0.02,-0.05992116502115432,0.07992116502115432,0.08,IM2306,6892.537003544335,0.043835616438356165,200.0,1.0,True,False,False,False
2023-06-01,-51204.60600133598,-94557.62043181209,43353.014430476105,0.0,0.0,0.0,-94557.62043181209,43353.014430476105,-51204.60600133598,6919.990243093923,0.25,0.02,-0.059926088159201876,0.07992608815920188,0.08,IM2306,6902.948272736315,0.0410958904109589,200.0,0.0,True,False,False,False
