date,action_type,observation_index,spot,barrier,cashflow,alive_before,knocked_in_before,knocked_out_before,matured_before,alive_after,knocked_in_after,knocked_out_after,matured_after,payoff
2024-01-22,KI,177,5000.834,5050.47675,0.0,True,False,False,False,True,True,False,False,
2025-09-01,KO,27,7501.148,6935.98807,-7966527.11387979,True,True,False,False,False,True,True,False,7966527.11387979
