date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,-5.748006515204906e-10,354.02533769868955,-0.9678048599049576,354.02533769868955,-0.9678048599049576,-354.02533769868955,0.9678048599049576,0.0,2.0,200.0,0.0,400.0,-354.02533769868955,45.974662301310445,0.9678048599049576,0.9678048599049576,-23839.95649277507,3095.919507224932,438864.06772382907,438864.06772382907,3095.919507224932,438864.06772382907,,,,,
2023-05-05,-30571.114786300845,415.30332292805065,0.30419632000804997,415.30332292805065,0.30419632000804997,-415.30332292805065,-0.30419632000804997,2.0,2.0,200.0,400.0,400.0,-15.303322928050648,-15.303322928050648,-0.30419632000804997,-0.30419632000804997,-1018.2300051019297,-1018.2300051019297,-134671.0516866406,-134671.0516866406,-1018.2300051019297,-134671.0516866406,,,,,
2023-05-08,-348.07410642902323,384.6050394673296,-1.5420198214516847,384.6050394673296,-1.5420198214516847,-384.6050394673296,1.5420198214516847,2.0,2.0,200.0,400.0,400.0,15.394960532670382,15.394960532670382,1.5420198214516847,1.5420198214516847,1031.8472297022324,1031.8472297022324,692729.3708660865,692729.3708660865,1031.8472297022324,692729.3708660865,,,,,
2023-05-09,-37253.04926870133,439.7037139669272,0.31378486009105244,439.7037139669272,0.31378486009105244,-439.7037139669272,-0.31378486009105244,2.0,2.0,200.0,400.0,400.0,-39.70371396692718,-39.70371396692718,-0.31378486009105244,-0.31378486009105244,-2625.0654430115255,-2625.0654430115255,-137167.1098854232,-137167.1098854232,-2625.0654430115255,-137167.1098854232,,,,,
2023-05-10,-27249.19033640949,430.8824634832913,0.228465802342147,430.8824634832913,0.228465802342147,-430.8824634832913,-0.228465802342147,2.0,2.0,200.0,400.0,400.0,-30.882463483291303,-30.882463483291303,-0.228465802342147,-0.228465802342147,-2046.6768994991478,-2046.6768994991478,-100345.03870312471,-100345.03870312471,-2046.6768994991478,-100345.03870312471,,,,,
2023-05-11,-26498.26367880761,433.0520574643837,0.2758099136858412,433.0520574643837,0.2758099136858412,-433.0520574643837,-0.2758099136858412,2.0,2.0,200.0,400.0,400.0,-33.05205746438372,-33.05205746438372,-0.2758099136858412,-0.2758099136858412,-2188.8794465108795,-2188.8794465108795,-120964.11728558812,-120964.11728558812,-2188.8794465108795,-120964.11728558812,,,,,
2023-05-12,-61822.019472796674,492.46056722917996,-1.6724893860934003,492.46056722917996,-1.6724893860934003,-492.46056722917996,1.6724893860934003,2.0,2.0,200.0,400.0,400.0,-92.46056722917996,-92.46056722917996,1.6724893860934003,1.6724893860934003,-6043.170896181554,-6043.170896181554,714463.448308769,714463.448308769,-6043.170896181554,714463.448308769,,,,,
2023-05-15,-29085.57167546374,447.2370529972038,-1.147378338587914,447.2370529972038,-1.147378338587914,-447.2370529972038,1.147378338587914,2.0,2.0,200.0,400.0,400.0,-47.23705299720382,-47.23705299720382,1.147378338587914,1.147378338587914,-3110.989797048146,-3110.989797048146,497666.29613293783,497666.29613293783,-3110.989797048146,497666.29613293783,,,,,
2023-05-16,-62204.236223769,529.0890176662689,-0.15283334246821267,529.0890176662689,-0.15283334246821267,-529.0890176662689,0.15283334246821267,2.0,3.0,200.0,400.0,600.0,-129.0890176662689,70.91098233373111,0.15283334246821267,0.15283334246821267,-8411.813458395136,4620.7645416048645,64896.128008862426,64896.128008862426,4620.7645416048645,64896.128008862426,,,,,
2023-05-17,-37225.67985536493,487.31191152708334,-1.7813745924253477,487.31191152708334,-1.7813745924253477,-487.31191152708334,1.7813745924253477,3.0,2.0,200.0,600.0,400.0,112.68808847291666,-87.31191152708334,1.7813745924253477,1.7813745924253477,7386.681661781991,-5723.278338218007,765416.8094599156,765416.8094599156,-5723.278338218007,765416.8094599156,,,,,
2023-05-18,-20732.40856750899,469.6521909232827,-1.7009816952053574,469.6521909232827,-1.7009816952053574,-469.6521909232827,1.7009816952053574,2.0,2.0,200.0,400.0,400.0,-69.65219092328272,-69.65219092328272,1.7009816952053574,1.7009816952053574,-4585.717761648716,-4585.717761648716,737300.8246312999,737300.8246312999,-4585.717761648716,737300.8246312999,,,,,
2023-05-19,-11100.06372085906,439.18823867338693,-0.21108711489869453,439.18823867338693,-0.21108711489869453,-439.18823867338693,0.21108711489869453,2.0,2.0,200.0,400.0,400.0,-39.188238673386934,-39.188238673386934,0.21108711489869453,0.21108711489869453,-2587.3317439336,-2587.3317439336,92014.11830962896,92014.11830962896,-2587.3317439336,92014.11830962896,,,,,
