date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,-1.318767317570746e-10,-1.318767317570746e-10,0.0,0.0,0.0,0.0,-1.318767317570746e-10,0.0,-1.318767317570746e-10,6733.969,0.25,0.02,-0.05992608815920072,0.07992608815920071,0.08,IM2305,6717.385147125124,0.0410958904109589,200.0,1.0,True,False,False,False
2023-05-05,750.3194471753632,-1102.7832300207847,1853.1026771961479,0.0,0.0,0.0,-1102.7832300207847,1853.1026771961479,750.3194471753632,6742.148998483871,0.25,0.02,-0.05993101183668619,0.07993101183668619,0.08,IM2305,6726.650660511104,0.038356164383561646,200.0,-9.0,True,False,False,False
2023-05-08,-27291.285669159493,-8492.173609944419,-18799.112059215076,0.0,0.0,0.0,-8492.173609944419,-18799.112059215076,-27291.285669159493,6750.31914070669,0.25,0.02,-0.05994578610644762,0.07994578610644762,0.08,IM2305,6738.124113142444,0.030136986301369864,200.0,1.0,True,False,False,False
2023-05-09,-29257.819127672537,-12307.6635646061,-16950.155563066437,0.0,0.0,0.0,-12307.6635646061,-16950.155563066437,-29257.819127672537,6758.469582283425,0.25,0.02,-0.05995071194235867,0.07995071194235867,0.08,IM2305,6747.368895623187,0.0273972602739726,200.0,1.0,True,False,False,False
2023-05-10,-31246.10707029453,-16139.583977942422,-15106.523092352109,0.0,0.0,0.0,-16139.583977942422,-15106.523092352109,-31246.10707029453,6766.590502566797,0.25,0.02,-0.05995563831804582,0.07995563831804582,0.08,IM2305,6756.587057976759,0.024657534246575342,200.0,1.0,True,False,False,False
2023-05-11,-33255.97583535623,-19985.803975229326,-13270.171860126902,0.0,0.0,0.0,-19985.803975229326,-13270.171860126902,-33255.97583535623,6774.672116480379,0.25,0.02,-0.059960565233576194,0.0799605652335762,0.08,IM2305,6765.768814137885,0.021917808219178082,200.0,1.0,True,False,False,False
2023-05-12,-35237.38941823052,-23794.338513970473,-11443.050904260053,0.0,0.0,0.0,-23794.338513970473,-11443.050904260053,-35237.38941823052,6782.704686308863,0.25,0.02,-0.059965492689007936,0.07996549268900793,0.08,IM2305,6774.904418917219,0.019178082191780823,200.0,1.0,True,False,False,False
2023-05-15,-40686.456193594684,-31505.500985016086,-9180.955208578598,0.0,0.0,0.0,-31505.500985016086,-9180.955208578598,-40686.456193594684,6790.678533431241,0.25,0.02,-0.05984246812214192,0.07984246812214192,0.08,IM2306,6755.05149004147,0.08767123287671233,200.0,1.0,True,False,False,False
2023-05-16,-42565.2748225359,-35179.48842844093,-7385.786394094976,0.0,0.0,0.0,-35179.48842844093,-7385.786394094976,-42565.2748225359,6798.584049982792,0.25,0.02,-0.059847382638171756,0.07984738263817176,0.08,IM2306,6764.027334113888,0.08493150684931507,200.0,1.0,True,False,False,False
2023-05-17,-44461.73045548564,-38856.17198397246,-5605.558471513177,0.0,0.0,0.0,-38856.17198397246,-5605.558471513177,-44461.73045548564,6806.411710431814,0.25,0.02,-0.05985229769258128,0.07985229769258129,0.08,IM2306,6772.928473726797,0.0821917808219178,200.0,1.0,True,False,False,False
