variant,variant_label,tenor,combo,combo_label,ko_barrier,ki_barrier,spot,price,delta,gamma,vega,dividend_rho
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-25.818083048254053,0.32193088762570693,0.8482094691849795,0.16487225670164207,-0.12532666420668193
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-25.179112861999293,0.37846848343228884,-0.7588970264003728,0.15917234513436185,-0.1674779918904079
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-24.4555662484677,0.3264688358761265,-1.4278723387479313,0.2215841709407691,-0.21995362436264543
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-23.546153659129374,0.5164456757875223,-0.6391065070004144,0.19541648066359585,-0.28036897259759996
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-22.51214832381989,0.5882973252786019,0.6290350100804416,0.30520321173911213,-0.34587800557872583
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-21.202686742138862,0.5625764283100445,1.1127083887302869,0.3958798414211806,-0.41050436250174016
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-19.637741452505697,0.6337196588949136,-0.9397256768201664,0.25447814441535144,-0.46923175378630333
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-18.043659259946935,0.6927079680102248,0.9056948538916308,0.37337708010809934,-0.5224021390823452
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-16.183384121944282,0.8208401880268945,-0.3715792023892827,0.20775910318546664,-0.5601555190121843
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,82.5,-13.956668647762049,0.9236286516133547,0.6702309883421406,0.21761068246154913,-0.5972134166107423
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,85.0,-11.643543058857556,0.977982362600183,0.2666002703139932,0.09685467224124622,-0.6092635347139108
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,87.5,-9.336336972983752,0.8849604052831056,-0.4925020486324201,-0.05757509364652158,-0.5941047437241664
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,90.0,-7.252420276943212,0.7971813984734005,0.1024064404093596,-0.06788637468659431,-0.5604240441761554
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-5.283546607845529,0.7417395692166022,0.16143844606723995,-0.14292237640735106,-0.4999611976246321
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-3.5486045779360715,0.6395389328578904,0.10726916031985091,-0.1876668163304207,-0.4212801711592551
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-2.0919864548899496,0.521961058080404,0.0644207323975046,-0.20231302025834585,-0.3323526249738862
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,-0.9388010793578772,0.3978555999872285,0.023447486853167554,-0.19127758658895488,-0.2434276868716334
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,-0.09074498265448305,0.27962936896841445,0.011903141689472253,-0.16329812296673424,-0.16448918831243886
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,0.050854828939404684,0.2663706055903323,-0.0662800189617429,-0.16234279079884212,-0.1500078513483022
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,0.48626876994290014,0.1785813307762984,-0.013662274886973323,-0.12464064516150031,-0.10209547530056762
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,0.8500028195369056,0.1105524839284902,-0.04107798528809798,-0.08896079755688757,-0.05777887720862518
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.054450553721716,0.05854509573617105,-0.022375328499445096,-0.056247535548607064,-0.030077688243856926
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.1604242382996235,0.029711835209472466,-0.004679376964703144,-0.03149330118650662,-0.014385676599015795
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2115421865763651,0.013003322426447406,-0.0031410368741036374,-0.016140012056841346,-0.006305423895680562
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.2341251823558868,0.005584009053403833,-0.003041975436782119,-0.008039898212996333,-0.0025251162673267658
airbag,Airbag,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.2429286008387082,0.002174261020390089,-0.0006816357720756332,-0.003498998799658315,-0.0009466078735087535
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-37.949651869476945,1.2146220801174699,-0.0017054908222272995,0.14480910382203405,-0.7309960641904922
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-34.850575695893156,1.2597979162613568,0.031781286897385144,0.1347040074413144,-0.7893400364949343
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-31.650095723990656,1.297747807811503,0.05227695541214836,0.1041676294360343,-0.8440931523999495
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-28.378817467709084,1.3141257502385357,0.02536265880575608,0.052236799450128046,-0.891379504051315
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-25.074228778305006,1.3158671398127502,-0.028871654916835198,-0.019795500649951947,-0.9277798661582182
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-21.789445695633724,1.303576792954857,-0.06389059090300123,-0.10239061557974338,-0.9499729556491587
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-18.57789839471705,1.2650470095106812,0.03400414754383342,-0.19084173102456958,-0.9556250203193173
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-15.48133663995607,1.2054996696875377,-0.08645922990806318,-0.288599035986131,-0.9440579539695904
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-12.566902163275493,1.1262984827304656,0.017302034613853042,-0.3713217678718461,-0.9137353308457108
