scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
30,standard,1.0,0.01,0.05,0.216667,105.0,70.0,NONE,0.0,FULL,0.0,0.10028219065195225,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
31,standard,1.0,0.01,0.05,0.216667,105.0,75.0,NONE,0.0,FULL,0.0,0.17046611646863488,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
32,standard,1.0,0.01,0.05,0.216667,105.0,80.0,NONE,0.0,FULL,0.0,0.26541749166314527,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
33,standard,1.0,0.01,0.05,0.283333,97.5,65.0,NONE,0.0,FULL,0.0,0.17878277244868976,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
34,standard,1.0,0.01,0.05,0.283333,97.5,70.0,NONE,0.0,FULL,0.0,0.2493763039812273,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
35,standard,1.0,0.01,0.05,0.283333,97.5,75.0,NONE,0.0,FULL,0.0,0.32292491096425885,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
36,standard,1.0,0.01,0.05,0.283333,97.5,80.0,NONE,0.0,FULL,0.0,0.3579509899556176,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
37,standard,1.0,0.01,0.05,0.283333,100.0,65.0,NONE,0.0,FULL,0.0,0.17662979166085216,0.3615171052131956,0.3615171052131956,0.0,99.6384828947868,,,,
38,standard,1.0,0.01,0.05,0.283333,100.0,70.0,NONE,0.0,FULL,0.0,0.25373010932685774,0.3615171052131956,0.3615171052131956,0.0,99.6384828947868,,,,
39,standard,1.0,0.01,0.05,0.283333,100.0,75.0,NONE,0.0,FULL,0.0,0.3434954492321562,0.3615171052131956,0.3615171052131956,0.0,99.6384828947868,,,,
40,standard,1.0,0.01,0.05,0.283333,100.0,80.0,NONE,0.0,FULL,0.0,0.4023451763056404,0.3615171052131956,0.3615171052131956,0.0,99.6384828947868,,,,
41,standard,1.0,0.01,0.05,0.283333,102.5,65.0,NONE,0.0,FULL,0.0,0.16843081470263344,0.4367364468191113,0.4367364468191113,0.0,99.56326355318089,,,,
42,standard,1.0,0.01,0.05,0.283333,102.5,70.0,NONE,0.0,FULL,0.0,0.24584405883525756,0.4367364468191113,0.4367364468191113,0.0,99.56326355318089,,,,
43,standard,1.0,0.01,0.05,0.283333,102.5,75.0,NONE,0.0,FULL,0.0,0.347747588232241,0.4367364468191113,0.4367364468191113,0.0,99.56326355318089,,,,
44,standard,1.0,0.01,0.05,0.283333,102.5,80.0,NONE,0.0,FULL,0.0,0.43228348978412706,0.4367364468191113,0.4367364468191113,0.0,99.56326355318089,,,,
45,standard,1.0,0.01,0.05,0.283333,105.0,65.0,NONE,0.0,FULL,0.0,0.15723570594148592,0.5219319040619439,0.5219319040619439,0.0,99.47806809593806,,,,
46,standard,1.0,0.01,0.05,0.283333,105.0,70.0,NONE,0.0,FULL,0.0,0.23164919120194474,0.5219319040619439,0.5219319040619439,0.0,99.47806809593806,,,,
47,standard,1.0,0.01,0.05,0.283333,105.0,75.0,NONE,0.0,FULL,0.0,0.33684799033266366,0.5219319040619439,0.5219319040619439,0.0,99.47806809593806,,,,
48,standard,1.0,0.01,0.05,0.283333,105.0,80.0,NONE,0.0,FULL,0.0,0.443532672449262,0.5219319040619439,0.5219319040619439,0.0,99.47806809593806,,,,
49,standard,1.0,0.01,0.05,0.35,97.5,65.0,NONE,0.0,FULL,0.0,0.30880059902124474,0.3072902269503146,0.3072902269503146,0.0,99.69270977304969,,,,
