day_index,date,dv01_pre_hedge,dv01_post_hedge,dv01
0,2025-11-29 19:49:18.301620,61945.7597464749,61945.7597464749,61945.7597464749
1,2025-11-30 19:49:18.301620,61905.93957710129,61905.93957710129,61905.93957710129
2,2025-12-01 19:49:18.301620,61866.108646768174,61866.108646768174,61866.108646768174
3,2025-12-02 19:49:18.301620,61826.26695342731,61826.26695342731,61826.26695342731
4,2025-12-03 19:49:18.301620,61786.41449503015,61786.41449503015,61786.41449503015
