day_index,date,dv01_pre_hedge,dv01_post_hedge,dv01
0,2026-01-08 14:08:21.785073,61992.82676921469,61992.82676921469,61992.82676921469
1,2026-01-09 14:08:21.785073,61953.0190795697,61953.0190795697,61953.0190795697
2,2026-01-10 14:08:21.785073,61913.20063132704,61913.20063132704,61913.20063132704
3,2026-01-11 14:08:21.785073,61873.371422438926,61873.371422438926,61873.371422438926
4,2026-01-12 14:08:21.785073,61833.531450857176,61833.531450857176,61833.531450857176
