day_index,date,label,portfolio_value,daily_pnl,cumulative_pnl,net_pnl,transaction_costs,num_trades,dv01,dv01_pre_hedge,dv01_post_hedge,convexity,modified_duration,rate,short_rate,long_rate,spread
0,2025-11-29 19:50:25.113903,"Short -5bps, Long +5bps",173199573.8400889,21352.055867612362,21352.055867612362,21352.055867612362,0.0,0,61945.7597464749,61945.7597464749,61945.7597464749,3341352722.740421,3.5765538201420726,0.045,0.045,0.045,0.001
1,2025-11-30 19:50:25.113903,"Short -10bps, Long +10bps",173220928.52856404,21354.68847513199,42706.74434274435,42706.74434274435,0.0,0,61905.93957710129,61905.93957710129,61905.93957710129,3338371289.2398643,3.5738140941146757,0.045,0.045,0.045,0.002
2,2025-12-01 19:50:25.113903,"Short -15bps, Long +15bps",173242285.8499713,21357.32140725851,64064.06575000286,64064.06575000286,0.0,0,61866.108646768174,61866.108646768174,61866.108646768174,3335391670.499075,3.5710743680872783,0.045,0.045,0.045,0.003
3,2025-12-02 19:50:25.113903,"Short -20bps, Long +20bps",173263645.80463523,21359.954663932323,85424.02041393518,85424.02041393518,0.0,0,61826.26695342731,61826.26695342731,61826.26695342731,3332413867.331538,3.5683346420598814,0.045,0.045,0.045,0.004
4,2025-12-03 19:50:25.113903,"Short -25bps, Long +25bps",173285008.39288062,21362.588245391846,106786.60865932703,106786.60865932703,0.0,0,61786.41449503015,61786.41449503015,61786.41449503015,3329437880.550953,3.5655949160324836,0.045,0.045,0.045,0.005
