scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
1,standard,2.0,0.01,0.05,0.15,95.0,60.0,NONE,0.0,FULL,0.0,0.18457209348428977,0.458980434457672,0.458980434457672,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
2,standard,2.0,0.01,0.05,0.15,95.0,68.333333,NONE,0.0,FULL,0.0,0.1875998028146187,0.22146232506314445,0.22146232506314445,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
3,standard,2.0,0.01,0.05,0.15,95.0,76.666667,NONE,0.0,FULL,0.0,0.19062751250827276,-0.01605581283355772,-0.01605581283355772,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
4,standard,2.0,0.01,0.05,0.15,95.0,85.0,NONE,0.0,FULL,0.0,0.19365522183860168,-0.2535739222280853,-0.2535739222280853,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
5,standard,2.0,0.01,0.05,0.15,100.0,60.0,NONE,0.0,FULL,0.0,0.17331384523223853,0.9861799042511876,0.9861799042511876,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
6,standard,2.0,0.01,0.05,0.15,100.0,68.333333,NONE,0.0,FULL,0.0,0.17634155456256745,0.7486617948566601,0.7486617948566601,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
7,standard,2.0,0.01,0.05,0.15,100.0,76.666667,NONE,0.0,FULL,0.0,0.17936926425622152,0.5111436569599579,0.5111436569599579,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
8,standard,2.0,0.01,0.05,0.15,100.0,85.0,NONE,0.0,FULL,0.0,0.18239697358655044,0.27362554756543034,0.27362554756543034,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
9,standard,2.0,0.01,0.05,0.15,105.0,60.0,NONE,0.0,FULL,0.0,0.1620555969801873,1.5133793740447032,1.5133793740447032,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
10,standard,2.0,0.01,0.05,0.15,105.0,68.333333,NONE,0.0,FULL,0.0,0.1650833063105162,1.2758612646501757,1.2758612646501757,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
11,standard,2.0,0.01,0.05,0.15,105.0,76.666667,NONE,0.0,FULL,0.0,0.16811101600417028,1.0383431267534735,1.0383431267534735,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
12,standard,2.0,0.01,0.05,0.15,105.0,85.0,NONE,0.0,FULL,0.0,0.1711387253344992,0.800825017358946,0.800825017358946,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
13,standard,2.0,0.01,0.05,0.15,110.0,60.0,NONE,0.0,FULL,0.0,0.15079734872813605,2.040578843838219,2.040578843838219,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
14,standard,2.0,0.01,0.05,0.15,110.0,68.333333,NONE,0.0,FULL,0.0,0.15382505805846497,1.8030607344436913,1.8030607344436913,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
15,standard,2.0,0.01,0.05,0.15,110.0,76.666667,NONE,0.0,FULL,0.0,0.15685276775211904,1.5655425965469891,1.5655425965469891,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
16,standard,2.0,0.01,0.05,0.15,110.0,85.0,NONE,0.0,FULL,0.0,0.15988047708244796,1.3280244871524616,1.3280244871524616,0.0,99.12503302788416,-0.002251649650410248,0.00036332513417247636,0.10543989395870312,-0.02850217426743029
17,standard,2.0,0.01,0.05,0.216667,95.0,60.0,NONE,0.0,FULL,0.0,0.2975061922916616,0.011549775416582975,0.011549775416582975,0.0,99.24592698681887,0.00572583858225828,-0.0030951741135878397,0.09281540472056804,0.0
18,standard,2.0,0.01,0.05,0.216667,95.0,68.333333,NONE,0.0,FULL,0.0,0.2717130757101543,0.011549775416582975,0.011549775416582975,0.0,99.24592698681887,0.00572583858225828,-0.0030951741135878397,0.09281540472056804,0.0
