date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2024-07-15,roll_open,futures,IM2408,5.0,4354.115662699906,200.0,4354115.662699906,0.0,futures_roll
2024-08-12,roll_close,futures,IM2408,-5.0,4374.202716109324,200.0,4374202.716109324,0.0,futures_roll
2024-08-12,roll_open,futures,IM2409,5.0,4349.108328901082,200.0,4349108.328901082,0.0,futures_roll
2024-08-26,hedge_rebalance,futures,IM2409,30.0,4359.128761678597,200.0,26154772.570071578,0.0,delta_rebalance
2024-08-27,hedge_rebalance,futures,IM2409,-30.0,4359.845389689424,200.0,26159072.338136546,0.0,delta_rebalance
2024-09-18,roll_close,futures,IM2409,-5.0,4375.641046577906,200.0,4375641.046577906,0.0,futures_roll
2024-09-18,roll_open,futures,IM2410,5.0,4355.547388120022,200.0,4355547.388120023,0.0,futures_roll
2024-10-08,hedge_rebalance,futures,IM2410,1.0,4369.890560870245,200.0,873978.112174049,0.0,delta_rebalance
2024-10-14,roll_close,futures,IM2410,-6.0,4374.202716109324,200.0,5249043.259331188,0.0,futures_roll
2024-10-14,roll_open,futures,IM2411,6.0,4354.115662699906,200.0,5224938.795239887,0.0,futures_roll
2024-11-11,roll_close,futures,IM2411,-6.0,4374.202716109324,200.0,5249043.259331188,0.0,futures_roll
2024-11-11,roll_open,futures,IM2412,6.0,4349.108328901082,200.0,5218929.994681299,0.0,futures_roll
2024-12-12,hedge_rebalance,futures,IM2412,-29.0,4371.327473410883,200.0,25353699.345783122,0.0,delta_rebalance
2024-12-13,hedge_rebalance,futures,IM2412,29.0,4372.046106854218,200.0,25357867.419754468,0.0,delta_rebalance
2024-12-16,roll_close,futures,IM2412,-6.0,4374.202716109324,200.0,5249043.259331188,0.0,futures_roll
2024-12-16,roll_open,futures,IM2501,6.0,4354.115662699906,200.0,5224938.795239887,0.0,futures_roll
2025-01-13,roll_close,futures,IM2501,-6.0,4374.202716109324,200.0,5249043.259331188,0.0,futures_roll
2025-01-13,roll_open,futures,IM2502,6.0,4349.108328901082,200.0,5218929.994681299,0.0,futures_roll
2025-02-17,roll_close,futures,IM2502,-6.0,4374.202716109324,200.0,5249043.259331188,0.0,futures_roll
2025-02-17,roll_open,futures,IM2503,6.0,4354.115662699906,200.0,5224938.795239887,0.0,futures_roll
2025-03-03,hedge_rebalance,futures,IM2503,29.0,4364.147632474878,200.0,25312056.268354293,0.0,delta_rebalance
2025-03-04,hedge_rebalance,futures,IM2503,-29.0,4364.865085573376,200.0,25316217.49632558,0.0,delta_rebalance
2025-03-10,hedge_rebalance,futures,IM2503,1.0,4369.172281734114,200.0,873834.4563468229,0.0,delta_rebalance
2025-03-17,roll_close,futures,IM2503,-7.0,4374.202716109324,200.0,6123883.802553053,0.0,futures_roll
2025-03-17,roll_open,futures,IM2504,7.0,4354.115662699906,200.0,6095761.927779868,0.0,futures_roll
2025-03-17,hedge_rebalance,futures,IM2504,-1.0,4354.115662699906,200.0,870823.1325399813,0.0,delta_rebalance
2025-03-18,hedge_rebalance,futures,IM2504,1.0,4354.831466571934,200.0,870966.2933143867,0.0,delta_rebalance
2025-03-25,hedge_rebalance,futures,IM2504,-28.0,4359.845389689424,200.0,24415134.182260778,0.0,delta_rebalance
2025-03-26,hedge_rebalance,futures,IM2504,28.0,4360.5621355118,200.0,24419147.958866082,0.0,delta_rebalance
2025-04-14,roll_close,futures,IM2504,-7.0,4374.202716109324,200.0,6123883.802553053,0.0,futures_roll
2025-04-14,roll_open,futures,IM2505,7.0,4354.115662699906,200.0,6095761.927779868,0.0,futures_roll
2025-05-12,roll_close,futures,IM2505,-7.0,4374.202716109324,200.0,6123883.802553053,0.0,futures_roll
2025-05-12,roll_open,futures,IM2506,7.0,4349.108328901082,200.0,6088751.660461515,0.0,futures_roll
2025-06-16,roll_close,futures,IM2506,-7.0,4374.202716109324,200.0,6123883.802553053,0.0,futures_roll
2025-06-16,roll_open,futures,IM2507,7.0,4354.115662699906,200.0,6095761.927779868,0.0,futures_roll
2025-07-04,hedge_rebalance,futures,IM2507,-25.0,4367.018152629571,200.0,21835090.763147857,0.0,delta_rebalance
2025-07-07,hedge_rebalance,futures,IM2507,26.0,4369.172281734114,200.0,22719695.865017395,0.0,delta_rebalance
2025-07-14,roll_close,futures,IM2507,-8.0,4374.202716109324,200.0,6998724.345774918,0.0,futures_roll
2025-07-14,roll_open,futures,IM2508,8.0,4354.115662699906,200.0,6966585.06031985,0.0,futures_roll
2025-07-17,hedge_rebalance,futures,IM2508,25.0,4356.263427363518,200.0,21781317.13681759,0.0,delta_rebalance
2025-07-18,hedge_rebalance,futures,IM2508,-25.0,4356.97958432177,200.0,21784897.921608847,0.0,delta_rebalance
2025-07-29,hedge_rebalance,futures,IM2508,-25.0,4364.865085573376,200.0,21824325.42786688,0.0,delta_rebalance
2025-07-30,hedge_rebalance,futures,IM2508,25.0,4365.5826566190635,200.0,21827913.283095315,0.0,delta_rebalance
2025-08-11,roll_close,futures,IM2508,-8.0,4374.202716109324,200.0,6998724.345774918,0.0,futures_roll
2025-08-11,roll_open,futures,IM2509,8.0,4349.108328901082,200.0,6958573.326241732,0.0,futures_roll
2025-09-15,roll_close,futures,IM2509,-8.0,4374.202716109324,200.0,6998724.345774918,0.0,futures_roll
2025-09-15,roll_open,futures,IM2510,8.0,4354.115662699906,200.0,6966585.06031985,0.0,futures_roll
2025-10-10,hedge_rebalance,futures,IM2510,1.0,4372.046106854218,200.0,874409.2213708436,0.0,delta_rebalance
2025-10-13,roll_close,futures,IM2510,-9.0,4374.202716109324,200.0,7873564.888996782,0.0,futures_roll
2025-10-13,roll_open,futures,IM2511,9.0,4349.108328901082,200.0,7828394.992021948,0.0,futures_roll
2025-10-23,hedge_rebalance,futures,IM2511,-22.0,4356.263427363518,200.0,19167559.080399476,0.0,delta_rebalance
2025-10-24,hedge_rebalance,futures,IM2511,22.0,4356.97958432177,200.0,19170710.171015788,0.0,delta_rebalance
2025-10-29,hedge_rebalance,futures,IM2511,21.0,4360.5621355118,200.0,18314360.96914956,0.0,delta_rebalance
2025-10-30,hedge_rebalance,futures,IM2511,-21.0,4361.278999165091,200.0,18317371.79649338,0.0,delta_rebalance
2025-11-04,hedge_rebalance,futures,IM2511,-21.0,4364.865085573376,200.0,18332433.359408177,0.0,delta_rebalance
2025-11-05,hedge_rebalance,futures,IM2511,21.0,4365.5826566190635,200.0,18335447.157800067,0.0,delta_rebalance
