model,overall_rmse_iv_volpts,note
Black-Scholes (flat ATM vol),2.6842,no smile — baseline
Local Volatility (Dupire),4.5192,PDE reprice of the smoothed no-arb target
Heston (stochastic vol),1.9824,"5 params, fit to the same smoothed target"
Heston-SLV (leverage),4.6516,smile-consistent dynamics; PDE bias on vanillas
