trade_date,node_count,expiry_count,v0,kappa,theta,sigma,rho,weighted_rmse_iv,feller_ratio,jacobian_condition_fixed_economic,jacobian_effective_rank_fixed_economic,v0_bound_hit,kappa_bound_hit,theta_bound_hit,sigma_bound_hit,rho_bound_hit
2026-04-30,138,6,0.0624134550608271,2.9999999876944914,0.08523908578213146,0.6999999999999998,-0.48156442343472416,0.028379927543977643,1.0437439032550375,15.852813388067663,5,0,1,0,1,0
2026-05-15,124,5,0.0754582838324591,2.8907791127418583,0.08746410240340478,0.6996143153955862,-0.3958707979183805,0.02778368879371016,1.0331357088885338,30658.90988808405,1,0,0,0,0,0
2026-06-15,152,6,0.08341779508544603,2.999999859584353,0.08012650222569273,0.6999985584508966,-0.17025363688076875,0.19048357472531308,0.9811448387059912,19.764904127204193,5,0,1,0,0,0
2026-06-30,107,5,0.07728235461703914,2.7279638594353393,0.08975184096597963,0.6999999999992743,-0.27646507852662994,0.007094400580781874,0.9993460345856663,25.794189412915348,5,0,0,0,1,0
2026-07-06,135,6,0.0841262908301039,2.9999999142463327,0.07884838288143547,0.6978751824001692,-0.13662234557887906,0.020297222386166932,0.9713785741711023,18.188621520102085,5,0,1,0,0,0
2026-07-15,114,5,0.09955858162617033,2.3469336813293933,0.06177579367990845,0.543016045005711,-0.0382884441161076,0.007706374722834669,0.9833855503387382,17.811616245422766,5,0,0,0,0,0
