date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,1.318767317570746e-10,240.15098045453814,-0.0356626208858001,240.15098045453814,-0.0356626208858001,-240.15098045453814,0.0356626208858001,0.0,1.0,200.0,0.0,200.0,-240.15098045453814,-40.15098045453814,0.0356626208858001,0.0356626208858001,-16171.692577004658,-2703.7545770046577,16171.692782336322,16171.692782336322,-2703.7545770046577,16171.692782336322,,,,,
2023-05-05,-22025.193684366433,276.215984407907,-0.041513432759556095,276.215984407907,-0.041513432759556095,-276.215984407907,0.041513432759556095,1.0,1.0,200.0,200.0,200.0,-76.215984407907,-76.215984407907,0.041513432759556095,0.041513432759556095,-5071.1471330362365,-5071.1471330362365,18378.452601609748,18378.452601609748,-5071.1471330362365,18378.452601609748,,,,,
2023-05-08,198.3195544369628,269.0620481632022,-0.04014353665122476,269.0620481632022,-0.04014353665122476,-269.0620481632022,0.04014353665122476,1.0,1.0,200.0,200.0,200.0,-69.06204816320218,-69.06204816320218,0.04014353665122476,0.04014353665122476,-4628.883778138626,-4628.883778138626,18033.884196483996,18033.884196483996,-4628.883778138626,18033.884196483996,,,,,
2023-05-09,-26715.17722101742,308.5492262286445,-0.04666759901631405,308.5492262286445,-0.04666759901631405,-308.5492262286445,0.04666759901631405,1.0,2.0,200.0,200.0,400.0,-108.5492262286445,91.4507737713555,0.04666759901631405,0.04666759901631405,-7176.880804546765,6046.393195453236,20400.15468082856,20400.15468082856,6046.393195453236,20400.15468082856,,,,,
2023-05-10,-19929.57073602843,307.8532848501406,-0.046452216359315845,307.8532848501406,-0.046452216359315845,-307.8532848501406,0.046452216359315845,2.0,2.0,200.0,400.0,400.0,92.1467151498594,92.1467151498594,0.046452216359315845,0.046452216359315845,6106.849389265299,6106.849389265299,20402.394584380087,20402.394584380087,6106.849389265299,20402.394584380087,,,,,
2023-05-11,-19408.444178364363,308.1161432759571,-0.04652550568734012,308.1161432759571,-0.04652550568734012,-308.1161432759571,0.04652550568734012,2.0,2.0,200.0,400.0,400.0,91.88385672404291,91.88385672404291,0.04652550568734012,0.04652550568734012,6085.027707159655,6085.027707159655,20405.055973242266,20405.055973242266,6085.027707159655,20405.055973242266,,,,,
2023-05-12,-40476.399247746675,340.1371372648807,-0.052041011013637964,340.1371372648807,-0.052041011013637964,-340.1371372648807,0.052041011013637964,2.0,2.0,200.0,400.0,400.0,59.86286273511928,59.86286273511928,0.052041011013637964,0.052041011013637964,3912.6031851642647,3912.6031851642647,22231.172581086867,22231.172581086867,3912.6031851642647,22231.172581086867,,,,,
2023-05-15,-18078.43281807306,305.1900312408581,-0.04633984304662848,305.1900312408581,-0.04633984304662848,-305.1900312408581,0.04633984304662848,2.0,2.0,200.0,400.0,400.0,94.8099687591419,94.8099687591419,0.04633984304662848,0.04633984304662848,6244.099213505202,6244.099213505202,20099.541081435742,20099.541081435742,6244.099213505202,20099.541081435742,,,,,
2023-05-16,-43198.94432570148,347.7555262191527,-0.053367112408425614,347.7555262191527,-0.053367112408425614,-347.7555262191527,0.053367112408425614,2.0,2.0,200.0,400.0,400.0,52.24447378084727,52.24447378084727,0.053367112408425614,0.053367112408425614,3404.400898089235,3404.400898089235,22660.755188553598,22660.755188553598,3404.400898089235,22660.755188553598,,,,,
2023-05-17,-23170.34209304653,341.55968344773805,-0.05210689866700824,341.55968344773805,-0.05210689866700824,-341.55968344773805,0.05210689866700824,2.0,2.0,200.0,400.0,400.0,58.44031655226195,58.44031655226195,0.05210689866700824,0.05210689866700824,3830.75106193746,3830.75106193746,22389.168621884888,22389.168621884888,3830.75106193746,22389.168621884888,,,,,
2023-05-18,-12041.267621524361,305.870897150528,-0.04645854741927454,305.870897150528,-0.04645854741927454,-305.870897150528,0.04645854741927454,2.0,2.0,200.0,400.0,400.0,94.12910284947202,94.12910284947202,0.04645854741927454,0.04645854741927454,6197.213513359773,6197.213513359773,20137.738942139553,20137.738942139553,6197.213513359773,20137.738942139553,,,,,
